Symbol,Company Name,Listing Date,ipo_raised_fund,ipo_price,1d_price_movement_after_listed,7d_price_movement_after_listed,30d_price_movement_after_listed,180d_price_movement_after_listed,365d_price_movement_after_listed,underwriter
PGEO,PT Pertamina Geothermal Energy Tbk,24-Feb-23,9056250000,875,0,-1,-9,19,,CLSA SEKURITAS INDONESIA (KZ); CREDIT SUISSE SEKURITAS INDONESIA (CS); MANDIRI SEKURITAS (CC); HSBC SEKURITAS INDONESIA (GW); BAHANA SEKURITAS (DX); DANASAKTI SEKURITAS INDONESIA (PF); SAMUEL SEKURITAS INDONESIA (IF)
FUTR,PT Lini Imaji Kreasi Ekosistem Tbk,27-Feb-23,127800000,100,0,42,21,-50,,INDO CAPITAL SEKURITAS; KGI SEKURITAS INDONESIA (HD)
HILL,PT Hillcon Tbk,01-Mar-23,552875000,1250,6,26,62,132,,MIRAE ASSET SEKURITAS INDONESIA (YP); SUCOR SEKURITAS (AZ); MACQUARIE SEKURITAS INDONESIA (RX)
BDKR,PT Berdikari Pondasi Perkasa Tbk,03-Mar-23,141220000,200,15,29,28,153,,SEMESTA INDOVEST SEKURITAS (MG)
PTMP,PT Mitra Pack Tbk,06-Mar-23,96000000,120,19,13,77,14,,NH KORINDO SEKURITAS INDONESIA (XA)
TRON,PT Teknologi Karya Digital Nusa Tbk,08-Mar-23,135000000,180,31,50,53,64,,SURYA FAJAR SEKURITAS
SAGE,PT Saausaha Gemilangindah Tbk,08-Mar-23,161000000,100,35,40,272,-50,,DANATAMA MAKMUR SEKURITAS (II); AARTHA SEKURITAS INDONESIA (SH)
CUAN,PT Petrindo Jaya Kreasi Tbk,08-Mar-23,371800000,220,25,200,309,991,,HENAN PUTIHRAI SEKURITAS (HP); BRI DANAREKSA SEKURITAS (OD)
NSSS,PT Nusantara Sawit Sejahtera Tbk,10-Mar-23,453166000,127,6,3,14,52,,SAMUEL SEKURITAS INDONESIA (IF); BRI DANAREKSA SEKURITAS (OD); SUCOR SEKURITAS (AZ); MIRAE ASSET SEKURITAS INDONESIA (YP); YULIE SEKURITAS INDONESIA TBK (RS); PHILLIP SEKURITAS INDONESIA (KK); DANASAKTI SEKURITAS INDONESIA (PF)
GTRA,PT Grahaprima Suksesmandiri Tbk,30-Mar-23,56831000,150,35,85,77,39,,UOB KAY HIAN SEKURITAS (AI)
HAJJ,PT Arsy Buana Travelindo Tbk,05-Apr-23,96194000,140,10,25,211,9,,SURYA FAJAR SEKURITAS
PIPA,PT Multi Makmur Lemindo Tbk,10-Apr-23,97125000,105,34,60,1,-52,,SHINHAN SEKURITAS INDONESIA (AH)
NCKL,PT Trimegah Bangun Persada Tbk,12-Apr-23,9997000000,1250,4,16,-10,-21,,BNP PARIBAS SECURITIES INDONESIA (BW); CITIGROUP SEKURITAS INDONESIA (CG); CREDIT SUISSE SEKURITAS INDONESIA (CS); MANDIRI SEKURITAS (CC); DBS VICKERS SEKURITAS INDONESIA (DP); OCBC SEKURITAS INDONESIA (TP); UOB KAY HIAN SEKURITAS (AI)
MBMA,PT Merdeka Battery Materials Tbk,18-Apr-23,9182250000,795,11,1,-1,-10,,INDO PREMIER SEKURITAS (PD); TRIMEGAH SEKURITAS INDONESIA TBK. (LG); UBS SEKURITAS INDONESIA (AK); MACQUARIE SEKURITAS INDONESIA (RX); SUCOR SEKURITAS (AZ); ALDIRACITA SEKURITAS INDONESIA (PP); CIPTADANA SEKURITAS ASIA (KI)
MENN,PT Menn Teknologi Indonesia Tbk,18-Apr-23,33556000,78,-9,-31,-45,42,,INDO CAPITAL SEKURITAS; KGI SEKURITAS INDONESIA (HD)
AWAN,PT Era Digital Media Tbk,18-Apr-23,75000000,100,35,212,152,134,,SAMUEL SEKURITAS INDONESIA (IF); SUCOR SEKURITAS (AZ)
JATI,PT Informasi Teknologi Indonesia Tbk,08-May-23,65250000,100,35,114,45,-28,,KGI SEKURITAS INDONESIA (HD); SHINHAN SEKURITAS INDONESIA (AH)
